target,interaction,cv_rmse,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators
Ozone,none,0.007253273209174878,20,2,5,300
Ozone,int_traffic_temp,0.007273498744926918,50,2,2,300
Ozone,int_traffic_wind,0.007264293156923923,50,2,5,300
Ozone,int_traffic_precip,0.007256848929307604,50,2,2,300
Ozone,int_traffic_humidity,0.007265982396290035,20,2,5,300
NO2,none,10.991245195184836,20,2,5,300
NO2,int_traffic_temp,11.014196665220698,10,2,5,300
NO2,int_traffic_wind,10.957389106111991,50,2,5,300
NO2,int_traffic_precip,11.012918091958209,50,2,2,300
NO2,int_traffic_humidity,10.982105914206569,20,2,5,300
PM2.5,none,4.224542357385602,50,2,5,300
PM2.5,int_traffic_temp,4.206077746696688,50,2,5,300
PM2.5,int_traffic_wind,4.220090744433547,50,2,5,300
PM2.5,int_traffic_precip,4.229756514030987,50,2,5,300
PM2.5,int_traffic_humidity,4.2066986628411716,20,2,5,300
CO,none,0.1909880689844658,5,2,2,300
CO,int_traffic_temp,0.19111567712115868,5,2,2,300
CO,int_traffic_wind,0.19089307992182128,5,2,2,300
CO,int_traffic_precip,0.1911296105677302,5,2,2,300
CO,int_traffic_humidity,0.19152425636909914,5,2,2,300
